Cust_Id,Calendar_Dt,Amt_LE
6089205,11/6/2019,0.64
6089205,11/7/2019,1.6
6089205,11/8/2019,4.49
6089205,11/9/2019,1.28
6089205,11/10/2019,1.28
6089205,11/11/2019,1.28
6089205,11/12/2019,0.32
6089205,11/13/2019,1.92
6089205,11/14/2019,12.49
6089205,11/15/2019,0.32
6089205,11/16/2019,0.64
6089205,11/19/2019,1.28
6089205,11/21/2019,0.64
6089205,11/23/2019,0.64
6089205,11/24/2019,0.64
6089205,11/25/2019,0.64
6089205,11/27/2019,0.96
6089205,11/28/2019,0.64
6089205,11/29/2019,0.96
6089205,11/30/2019,2.88
6089205,12/1/2019,0.32
6089205,12/2/2019,2.24
6089205,12/3/2019,0.64
6089205,12/4/2019,3.2
6089205,12/5/2019,1.6
6089205,12/6/2019,0.32
6089205,12/7/2019,1.28
6089205,12/9/2019,0.32
6089205,12/10/2019,0.96
6089205,12/11/2019,0.32
6089205,12/12/2019,0.96
6089205,12/13/2019,0.64
6089205,12/14/2019,0.32
6089205,12/15/2019,72.01
6089205,12/16/2019,0.96
6089205,12/18/2019,4.81
6089205,12/19/2019,1.28
6089205,12/20/2019,1.28
6089205,12/21/2019,0.64
6089205,12/22/2019,0.64
6089205,12/23/2019,0.96
6089205,12/24/2019,7.37
6089205,12/25/2019,0.96
6089205,12/26/2019,0.96
6089205,12/27/2019,2.88
6089205,12/28/2019,0.64
6089205,12/29/2019,5.12
6089205,12/30/2019,2.24
6089205,12/31/2019,0.89
6091536,11/1/2019,24.66
6091536,11/2/2019,5.71
6091536,11/3/2019,4.1
6091536,11/4/2019,14.93
6091536,11/5/2019,2.57
6091536,11/6/2019,6.16
6091536,11/7/2019,9.67
6091536,11/8/2019,7.83
6091536,11/9/2019,0.59
6091536,11/10/2019,8.1
6091536,11/11/2019,227.06
6091536,11/12/2019,19.64
6091536,11/13/2019,12.58
6091536,11/14/2019,9.01
6091536,11/15/2019,36.24
6091536,11/16/2019,28.21
6091536,11/17/2019,32.54
6091536,11/18/2019,6.1
6091536,11/19/2019,9.87
6091536,11/20/2019,63.92
6091536,11/21/2019,10.82
6091536,11/22/2019,50.39
6091536,11/23/2019,28.28
6091536,11/24/2019,13.3
6091536,11/25/2019,2.54
6091536,11/26/2019,12.89
6091536,11/27/2019,13.28
6091536,11/28/2019,3.68
6091536,11/29/2019,9.57
6091536,11/30/2019,5.94
6091536,12/1/2019,5.56
6091536,12/2/2019,4.22
6091536,12/3/2019,10.2
6091536,12/4/2019,2.44
6091536,12/5/2019,4.28
6091536,12/6/2019,13.4
6091536,12/7/2019,4.33
6091536,12/8/2019,5.41
6091536,12/9/2019,32.38
6091536,12/10/2019,12.42
6091536,12/11/2019,13.06
6091536,12/12/2019,2.96
6091536,12/13/2019,10.04
6091536,12/14/2019,44.91
6091536,12/15/2019,6.33
6091536,12/16/2019,9.69
